country_idx,country_code,country_name,best_loss,nfev,nit,message,s_pi,G,nu,h_C,entry_threshold,nrmse_C,traj_corr_C,rank_products,nrmse_P,loss_total
0,ARG,Argentina,0.8615505121884224,800,19,Optimization terminated successfully.,0.0001288058409716908,0.24589043326264892,0.013648325979553289,2.0888860117029204,31.59793813283612,1.6517677834238362,1.1353846153846154,0.20901979338715043,0.2786911668514559,0.8615505121884224
1,AUS,Australia,1.1329020221547714,1200,29,Optimization terminated successfully.,0.9946514751768534,0.22159913133700204,0.09775341493332584,0.05179788957364506,15.73257253979544,2.6851363271817497,1.136153846153846,0.2285098849507593,0.3182215763774516,1.1329020221547714
2,BRA,Brazil,0.7236807543247175,1640,40,Optimization terminated successfully.,0.00010053441795582208,0.01714145408410328,0.07798271362159076,4.309734856578739,34.90203871143879,1.3006230476359097,0.9376923076923077,0.2036423080120874,0.33153361552512894,0.7236807543247175
3,CAN,Canada,0.25705347231176595,1680,41,Optimization terminated successfully.,0.0007038688047531494,0.021988791844923417,0.09348271445617351,3.9799687334881537,4.093572654983724,0.31189427439954776,0.18230769230769228,0.19494405859530897,0.37825790685372046,0.25705347231176595
4,CHN,China,0.151729653373123,1720,42,Optimization terminated successfully.,0.00029057310613939125,0.01340956837541718,0.02337092356073661,0.09434937479048866,21.9173826757072,0.2058641437200304,0.003076923076923088,0.18861868828392275,0.26092934224528885,0.151729653373123
5,DEU,Germany,0.15490840323979813,1000,24,Optimization terminated successfully.,0.0440433411857855,0.24001189614950513,0.006903040251833026,2.4091805320835755,14.320476297896931,0.08718887079680983,0.2053846153846154,0.1831476334387386,0.12854446282763204,0.15490840323979813
6,FRA,France,0.2346526496101631,960,23,Optimization terminated successfully.,0.003993938300347943,0.03591867425495965,0.10466013843547967,4.133590122586088,19.448426911201864,0.29532102093311435,0.09999999999999998,0.18398424216699683,0.4241316691756766,0.2346526496101631
7,GBR,United Kingdom,0.27268509493121557,1360,33,Optimization terminated successfully.,0.003875431094450432,1.001891328044977,0.0038207086798598966,4.373854561836024,38.66468892977686,0.42165171857138295,0.23230769230769233,0.2152167423134305,0.21887836008852268,0.27268509493121557
8,IDN,Indonesia,0.8575747986294852,1000,24,Optimization terminated successfully.,0.9991303856114585,0.115381242037767,0.1878059135392119,0.050021843891281836,26.215880679995458,1.364128388877801,1.31,0.22582576055064119,0.3354313063618732,0.8575747986294852
9,IND,India,1.1219706230469653,560,13,Optimization terminated successfully.,0.00030703149121702467,0.0622436329347027,0.5532597785184323,1.0190256451890272,49.646659681271515,2.2428779181732774,1.45,0.23689706329123483,0.3351343884041861,1.1219706230469653
10,ITA,Italy,0.3578905243290131,1080,26,Optimization terminated successfully.,0.0025806304718541118,0.6562964154510116,0.061254224868217744,0.0667239909865378,20.3187195163168,0.8581674468336694,0.22615384615384615,0.18125723931653856,0.15094099472653613,0.3578905243290131
11,JPN,Japan,0.1365450277202729,720,17,Optimization terminated successfully.,0.06329483301157583,0.02139492326047565,0.3807586921468301,1.2947769959757407,48.88425918606621,0.11377451604238635,0.07153846153846155,0.17735222578861667,0.21150901900491847,0.1365450277202729
12,KOR,South Korea,6.751229575859642,1240,30,Optimization terminated successfully.,0.0001002538717919943,0.2563503733328564,0.42341182564081425,0.1354264850411515,32.34481275016604,24.641022969322876,1.56,0.1986028970254143,0.3666155463628489,6.751229575859642
13,MEX,Mexico,4.37675403101309,1040,25,Optimization terminated successfully.,0.00010152121648612789,1.5831279558382514,0.025042545009780925,0.43110784107478706,41.58018645674001,15.512871913582519,1.3169230769230769,0.2014423782000842,0.2654926749525806,4.37675403101309
14,RUS,Russia,22.173719640680343,800,19,Optimization terminated successfully.,0.00012120281901334407,0.21189042836322758,0.49952196620457606,0.10049431450075597,31.78443034605341,86.71921545350604,1.3024822068696589,0.22115376065908487,0.23941337539084442,22.173719640680343
15,SAU,Saudi Arabia,4.067282514118661,880,21,Optimization terminated successfully.,0.0001003107989430152,1.245464634788355,0.8406114702125976,0.09032030573190664,18.63808668160278,14.291551114123502,1.1853846153846155,0.3028822738890059,0.3152939125007475,4.067282514118661
16,TUR,Turkiye,0.711410417394822,2880,71,Optimization terminated successfully.,0.9986162947768061,0.6348618953762988,0.011875230075275578,0.05039710097877004,0.08385384290008702,0.7777531171762446,1.3,0.21199221092690715,0.3698704268451702,0.711410417394822
17,USA,United States of America,0.1197513654217083,880,21,Optimization terminated successfully.,0.09255082913220165,1.1652519806487736,0.006336156820654804,4.541323738477495,14.285151662678906,0.031858207849164516,0.09615384615384615,0.20331143133566346,0.1605640088967373,0.1197513654217083
18,ZAF,South Africa,0.5001503849454602,1320,32,Optimization terminated successfully.,0.9994653907154509,0.45095506798073615,0.823728455826157,0.052956821273960175,3.1361625387220364,0.7294198469599515,0.25568700806347155,0.4569262284446424,0.6342888183763508,0.5001503849454602
