,1001,1005,2204,2701,2709,2710,2711,2902,2933,3004,3823,3901,3907,3920,3923,3926,4011,4104,4202,4407,4703,4810,5407,6109,6110,6203,6204,6403,7102,7108,7110,7113,7208,7210,7326,7601,7606,8407,8408,8409,8411,8413,8414,8415,8418,8419,8421,8422,8429,8431,8443,8471,8473,8477,8479,8481,8482,8483,8501,8504,8507,8516,8517,8518,8521,8524,8525,8527,8528,8529,8532,8534,8536,8538,8540,8541,8542,8543,8544,8701,8703,8704,8708,8711,8802,8803,8901,9001,9009,9013,9018,9027,9030,9031,9032,9401,9403,9503,9999,XXXX
ARG,0.20516237613574506,0.1502301351397,0.6090320080058653,-0.08797256209264159,-0.028907608317687628,0.003157082584954888,-0.22770512604772714,0.7872534705743774,0.21752139418923971,0.011885838769240905,0.09658115022255614,0.5860137839546229,0.05133477449222076,0.7080630760122869,0.3934396135827054,0.17578830700979817,0.33373648722339105,-0.14085619036094427,0.4172378602180558,0.2274939016990966,0.5024472549673265,-0.12332078588626882,0.30215422575729173,-0.0324633729448759,0.332080375321913,0.10542672991888308,0.38708334235884073,0.2200537133196482,0.1428725662321556,0.10002144458483572,-0.2970056255807985,0.27757479275749924,0.19192328050617127,0.5312684436027951,0.21681930144302944,0.05943757154228497,0.1080036220764082,0.18819764114286028,0.411589911708534,0.27490667325388335,-0.06781603509971873,0.47087993188376887,0.400159872363782,0.6463090243938878,0.7128968780434556,0.4594502910427853,0.35562021268949284,0.6386021242384842,0.023891509653411202,-0.23052262839057405,0.1944668095088433,0.05435228271193953,-0.048557159628001785,0.5188794726206626,0.00991141609803887,0.4101096897742954,0.48919237470498794,0.5399335729832401,0.4652088007474458,0.0474861576658773,0.15267565491472557,0.8597232905981715,-0.04129239378496956,1.699394476654215,0.23048211141875824,-0.45306158491888304,0.09144278454116807,0.16078817434457227,0.11329829436506753,0.2649617737631387,0.13859208750069973,0.40641850975142724,0.1873022900766203,1.0228715105045478,-0.13268072904351969,0.02461022381279069,0.005940188721291427,0.3426038901522639,0.08766918432405287,0.49930370435502436,0.026792300844985104,0.13041171865978018,0.07657818945462092,0.20701264397762462,0.06310467232216697,0.09509283906491392,-0.1826870927932959,-0.32983655094755054,0.17069379376709257,0.134399547944804,0.2504894424806363,0.8097147872028416,-0.046392690410876944,0.7820464015401597,0.49584355434006433,0.40370800845903737,0.42128322122639084,0.35348255300315545,0.0326497599644835,-0.027510440420176013
AUS,1.3967582548522465e-06,1.449388833894113e-06,2.312262141605382e-06,-9.494103154536365e-09,1.0295556821264497e-08,3.548259819292679e-09,-5.710322354586074e-07,2.5203003513095363e-06,-1.6019063927655155e-06,-9.544101670456376e-08,-1.1355383054704348e-06,-4.87314360453549e-07,-1.5265197383008334e-06,2.1114834284002646e-06,2.8152081003607846e-08,-3.8640084999995405e-08,2.1144483983332342e-06,2.541203038721034e-07,3.408844202294737e-07,5.461673810713803e-07,2.7041585902717226e-07,-1.2095705453572766e-06,-2.409871416781972e-07,-2.8635216185760625e-06,1.237841372431159e-06,-1.148059469164444e-06,-5.994371684330002e-07,6.470488646838025e-07,7.251635616718227e-07,3.418664034433005e-07,-3.540632515084137e-07,9.834465816485387e-07,-6.870756875521561e-07,1.7343327132872727e-06,-6.138948694807128e-07,-3.3225458370651455e-07,-5.438452149865999e-06,6.346832375187109e-07,-3.182094703246176e-07,8.340152686208083e-07,3.084053672401521e-07,6.737297123879109e-07,1.7393398047786577e-07,-5.833207498817613e-07,1.600102193369028e-06,-7.736018210800523e-07,-2.3813385239547224e-07,8.520079076678998e-07,1.2978875770858411e-06,3.7975996242278763e-07,1.6879974740423134e-06,6.140144179862834e-08,-1.894381312717334e-07,2.1053827457476427e-06,-1.4346064085296147e-06,3.056874099437184e-07,1.5424212190488408e-06,5.584170785748386e-07,3.3052648963268597e-07,-3.8375506729928177e-07,-2.8801243059176884e-07,2.037833235217867e-06,-2.6420122755846216e-07,3.887161869314719e-06,1.9385015012869858e-06,-2.038012662060437e-06,1.4130559866890928e-07,4.997068105013548e-07,5.186416481030636e-07,2.3820536574154932e-07,-2.6876707367803065e-06,4.67958230731827e-07,-4.453741535581845e-07,1.4951379352255953e-06,-1.5556007867323575e-07,-5.545315046016687e-07,-2.910063116515157e-07,7.668437869214524e-07,-6.492238897609615e-07,6.50684832407953e-07,9.131744926526192e-08,5.136386417363658e-07,1.7614769144557537e-07,-2.6245861044058273e-06,1.8605060962962922e-07,5.921471654200692e-07,2.0209746609814262e-07,1.5218234396408978e-07,4.3957973789442473e-07,6.790312619348352e-07,1.0594366256575009e-07,1.5492463973239842e-06,-4.350567201108856e-07,9.404811352715358e-07,-7.998159155298813e-08,6.515132108039025e-07,1.3533046691633578e-06,4.4285297361521666e-07,-9.186526884350598e-08,-1.2101009860750787e-07
BRA,1.7827399600352546e-06,1.6688898440616443e-06,3.5705797762068146e-06,-2.453265036392193e-08,3.0212721851641085e-08,-1.47030170471359e-08,-4.185135340229784e-07,3.6536501120087555e-06,-1.4244011702460325e-06,-7.531010829282053e-08,-1.0464579644469444e-06,2.782850355002406e-07,-1.9622216955723127e-06,2.793179594464033e-06,4.5625387525539134e-07,3.4279126734626665e-07,2.715717251775848e-06,-8.808601977261961e-08,1.8305050249482493e-07,8.424500027519866e-07,-2.9036611110599182e-08,-1.723616394601768e-06,-3.0187767990408723e-07,-4.276530945372127e-06,1.8980324138309796e-06,-1.9649590981187255e-06,-1.3405941111243824e-06,6.09174599376982e-07,4.091692297310601e-07,5.881812293758945e-07,2.3336237319783188e-07,1.0961122607377578e-06,-1.7385033504434904e-06,2.2110396173937464e-06,-6.289389149549236e-07,-1.0097882984985127e-07,-6.380146785280331e-06,8.050256248998084e-07,-4.217024540548054e-07,1.0800905819078487e-06,5.407255663963015e-07,7.29027579111066e-07,4.1821219850593973e-07,-1.1406026539135745e-06,2.786511138000893e-06,-9.301958008781335e-07,-2.6385931697788597e-08,1.9030925172425702e-06,1.484021721372425e-06,3.44211848546177e-07,1.8975778060336086e-06,1.9461712284934966e-07,-1.4294398492913567e-07,2.6440961874619723e-06,-1.6386193929995217e-06,3.3464785056522776e-07,8.628624935244111e-07,2.1719236207057345e-07,2.3713247239700625e-07,-6.672880930856163e-07,-3.1109950706243907e-07,3.3785750304266636e-06,-7.709391132119886e-07,4.456158945644661e-06,2.52214145449289e-06,-2.617733890587221e-06,2.090875177125222e-07,7.600568236200942e-07,9.830147789651994e-09,1.872958766608767e-07,-2.5054382073204537e-06,1.1063970357212654e-07,-5.289341419465306e-07,5.365342590120091e-07,-4.430000099915182e-08,-1.2764470644145638e-06,-3.069113893487778e-07,1.326519770833644e-06,-9.523459180320025e-07,8.713724788526687e-07,1.1652181815500372e-07,7.334182380732238e-07,2.0994886842120693e-07,-2.029436344535742e-06,-4.0788268580194296e-08,1.2619402914140097e-06,-2.789660768269034e-07,-3.8377507216620785e-07,3.1766856875003693e-07,4.163346470386023e-07,3.942209862042122e-07,2.9223467782265695e-06,-5.612695928477969e-07,2.6324075969331538e-06,-5.028431481594235e-07,5.359045016967093e-07,1.7335281192585837e-06,1.5641267632903887e-06,-1.1720639534739827e-07,-1.7640275006898955e-07
CAN,-9.413298951167237e-07,-1.112217547370792e-06,-1.597983481986079e-05,-5.963365404258533e-07,-8.775221907487879e-08,-1.7275999728540736e-07,-8.300840450926127e-08,-5.21411293388596e-06,-9.068893416885495e-06,-3.382303926417338e-07,-4.506846214334655e-06,-1.2740764704501087e-05,-8.058793248000619e-06,-1.141138227031095e-05,-9.04824619367199e-06,-4.620222324168108e-06,-6.885453992233106e-06,1.6959846695435386e-06,-2.5208539861730853e-06,-4.131424587641908e-06,-1.1177940541540134e-06,-1.7192922070780731e-06,-4.06597033640872e-06,1.0360768536085217e-06,-8.703398396580165e-06,1.752611829704474e-06,-2.1599604308767442e-06,-4.1007584912797e-06,-2.561092208680831e-06,-1.4770447651415522e-06,-8.874449966908477e-06,-3.814866010037598e-07,-6.217421440246321e-06,-1.347241215405691e-05,-1.0875715945173286e-05,-2.0664111377764555e-06,-1.5418636279285272e-05,-2.7220532554170156e-06,-7.583505929587959e-06,-4.637346087601839e-06,-2.7271051794645022e-06,-8.079956436679982e-06,-6.6329424886577715e-06,-7.134538363608474e-06,-1.4239253968854096e-05,-1.0213261625870252e-05,-7.610119056209661e-06,-1.1881382599889335e-05,-5.411564766869439e-06,-4.742192192435712e-06,-2.152135558924843e-06,-1.9604385477666047e-06,-4.754096111270979e-07,-3.900330791148599e-06,-2.700599028907408e-06,-5.954676780298588e-06,-1.1322294210493683e-05,-8.529767272738882e-06,-9.105181120134016e-06,-2.5855059082940974e-06,-1.7339610867445347e-07,-1.465958107406258e-05,-1.552228685610898e-06,-1.9469620951073657e-05,-2.4805020887716146e-06,-5.45863812778343e-06,-9.51206297268224e-07,-2.759410858665319e-06,-4.027356515174399e-06,-2.9409691489230056e-06,-6.421650067133372e-06,-2.952813131158043e-05,-3.7135271241941775e-06,-1.3258606867182198e-05,-9.56183986000007e-08,-2.249534125175913e-06,-5.791983460009498e-07,-8.764362477734427e-06,-1.9886909145477093e-06,-2.866118662498578e-06,-3.080773288673588e-07,-1.913001774528525e-06,-1.1201177530590261e-06,-1.3877496504721744e-05,-2.0272482093022295e-06,-2.5696289717556356e-06,3.400098119172597e-08,-6.8426889017630784e-06,-4.042111532204462e-06,-2.305021706056423e-06,-4.692451168222371e-06,-1.5784211035571898e-05,-6.714227209376449e-06,-1.0593287892132976e-05,-8.77834010980593e-06,-8.191316386102972e-06,-9.327860019014853e-06,-1.0151756462870737e-05,-2.1530703994309214e-07,-3.187007461130919e-08
CHN,0.01916327104730674,0.02956915018961326,0.007972642404989936,-0.0018110654646522077,-7.831752140381613e-05,0.0002543732408661109,-0.0033118464316480214,0.04170000459939953,-0.024831596857537577,0.0022061233615882866,0.011704524228217031,0.024104773610117494,0.021834587346274942,0.009548766081001294,0.010867693254519892,0.007771936168285437,0.007370288491994413,0.02923685791166471,0.020068504585705263,0.008807724866030781,0.037197541909302016,-0.005295953759311991,0.001033959681286914,0.001793314211370104,0.009301411193187732,0.010850459905395436,0.011145444681177091,5.676341113722373e-05,0.02072885727593388,0.0028081892487923934,-0.0023800342173845427,0.017513450792735814,-0.001586768321632209,0.018104989023111556,-0.0005903036317545493,0.028506301170693808,0.0028544828290264887,0.005642999868753381,0.014244053622180456,0.012907187818670285,-0.0005243417173144034,0.012263092578406702,0.011395003348459349,0.019067101100591986,0.01119714784175477,0.004740207522917007,0.010275610550848925,0.007991684377695221,0.02025369517558023,-0.003661805501712582,0.015332316505259774,0.0002118025198970269,-0.0019917976114126497,0.03696038082291901,-0.00536540758928633,0.00760831576324549,0.030967748973172112,0.024248370941684735,0.010381916972591748,0.000601387260797457,0.005125450608349659,0.023882746803033386,0.005012647040682435,0.05069496904264763,0.013432437786455321,-0.041516267522620005,0.0023597338774681118,1.2273871817223029e-05,0.0025954398691130647,0.0086959135036219,0.0117815067827882,-0.05360649048209542,0.00787396515926665,0.015524870304093526,-0.0020205038510128625,-0.0004100976617337257,-0.00039730742209304607,0.005038090338281388,0.007563843997282033,0.030505434677649438,0.000797422303885424,0.004562503617087221,0.0019106529556219233,-0.02683616182896321,-0.005996744715053409,0.007080443758836434,-0.009570314650282198,0.004864966574469856,-0.0027516400582541104,0.000856238914125042,0.0021502601509979856,0.026232356762334607,-0.0037410302216041957,0.039554907732071466,0.016937604236991893,0.0076579697183076145,0.00876525739825497,0.008977867275018604,0.0034183828396710018,-0.003551623618465769
DEU,-4.910067064765571e-06,-9.137981652662536e-07,-2.628250234121479e-05,-1.3301168002222696e-06,-3.483141290654962e-08,-3.106790498315611e-08,-1.3888526120459388e-07,-1.2292203351292516e-05,-1.5421739502542556e-06,-1.3988857358008128e-07,-7.575738898131411e-07,-1.7996565346472716e-05,-5.402755418243271e-06,-1.6053916979562486e-05,-8.086301466158914e-06,-4.5379872250464624e-06,-1.1252199826216409e-05,5.933277230576719e-06,7.383838780969138e-07,-6.826363502541633e-06,6.434228369456494e-07,3.191351333690107e-06,1.7422567329984704e-06,1.6895587981485834e-05,-1.0162528360910621e-05,1.3828936882174517e-05,7.564052620125223e-06,-3.769213265144366e-06,-5.6380748619701285e-06,-3.1791310975936628e-06,-1.58792868674385e-05,2.9199377251760864e-06,-6.2183209129802135e-06,-2.2157647056990882e-05,-9.4373613296396e-06,-3.771603713913645e-06,-1.2115207655247359e-05,-3.9875316894688865e-06,-8.401265011975785e-06,-6.6616697323202665e-06,-3.5456300185773726e-06,-7.060881389877353e-06,-5.565317224201123e-06,1.281604384718032e-06,-1.8773427050983143e-05,-2.7832168849582333e-06,-6.018551491843189e-06,-1.4790161202308403e-05,-1.051632170834404e-05,-7.065291085669247e-06,-6.218663013390332e-06,-2.661262225647135e-06,-1.5497543374104306e-07,-5.280408588139817e-06,2.193644604566556e-06,-4.8410240158721605e-06,-1.1553990904056234e-05,-5.94375517044423e-06,-4.991743834168964e-06,1.4492268121971786e-06,4.361971214275248e-06,-2.252529077969841e-05,8.581940754180673e-07,-2.574694817459456e-05,-9.145103556485906e-06,-1.1771220219731298e-06,-1.1678007480986383e-06,-3.6320220824573838e-06,-2.6898281657463373e-06,-3.731727487946518e-06,3.945940086518489e-06,-3.1057545626661675e-05,-3.340243996486987e-07,-6.943584613504945e-06,5.10201857377833e-07,1.9076696741964027e-06,3.031380681518688e-07,-1.1671205616136873e-05,2.6486323756545724e-06,-2.8587143244773705e-06,-4.529180942403271e-07,-3.29472915546306e-06,-1.2321902578961885e-06,-1.0066081083766847e-05,-1.7206489935383418e-06,-5.400137411909202e-06,3.175638006875286e-06,-6.620654413597659e-06,-4.533567298387292e-06,-3.513504695719207e-06,-3.520652715524836e-06,-2.0365095307726327e-05,-4.202788681055413e-06,-1.4959660949625748e-05,-1.6556943324731273e-06,-7.27026379784315e-06,-1.2682976381877284e-05,-1.2550113770690194e-05,1.1387697895921139e-07,3.958727863046957e-07
FRA,-1.317765448120772e-06,-6.741024437107131e-07,-1.6882577794963132e-05,-5.124006881199869e-07,-6.681436911840607e-08,-1.0165111363045321e-07,2.7409237171734064e-08,-5.795715983417146e-06,-9.758447293430681e-06,-3.7550868938884203e-07,-4.4931226258382005e-06,-1.302210059480603e-05,-7.249825283711172e-06,-1.167864057513054e-05,-8.617096932494023e-06,-4.763071882511588e-06,-7.501506368398296e-06,3.179144722873948e-06,-1.6577344279710522e-06,-4.330798583706925e-06,-5.310858732008356e-07,-9.990714507970356e-07,-2.755472442831414e-06,3.877863630854146e-06,-8.693073925327771e-06,4.432401962498068e-06,3.8994970097688494e-07,-3.533217889475264e-06,-2.4913077554454267e-06,-1.7428071523717979e-06,-1.1001326833294432e-05,4.5147904919351676e-07,-5.433144450293964e-06,-1.4043416575686538e-05,-1.0023991214774118e-05,-1.9929086471775107e-06,-1.2179701147638731e-05,-2.6744641950945096e-06,-7.37625432090857e-06,-4.361581742524334e-06,-2.4359088917939303e-06,-7.418738381361907e-06,-6.423313170161334e-06,-6.00775406512021e-06,-1.5008626649767117e-05,-8.538215870006227e-06,-7.179901531023556e-06,-1.1792491458873458e-05,-5.571795560861376e-06,-4.494776092845498e-06,-2.468149563286841e-06,-2.0754216524625963e-06,-3.6395186183027864e-07,-3.399348706650324e-06,-1.914627808999086e-06,-5.2739277397249445e-06,-9.937821489422416e-06,-7.241261851165474e-06,-7.922930266413755e-06,-2.391412340756809e-06,-1.973861570692559e-07,-1.5505994788730596e-05,-1.3709995603371077e-06,-1.8970173509618294e-05,-3.4284732053346703e-06,-5.028083191637717e-06,-8.67604891035399e-07,-2.5639692491851013e-06,-3.2642404229076203e-06,-2.839214386193909e-06,-5.564439377305965e-06,-2.9009362604111487e-05,-3.1640767375288e-06,-1.1002887911023609e-05,6.530487686578139e-08,-2.0507028157118586e-06,-4.721827179682488e-07,-9.307256559306115e-06,-1.091834299127292e-06,-2.758053972400441e-06,-2.791726573310442e-07,-1.8177635676303546e-06,-1.0085546144780303e-06,-1.3780438632377963e-05,-1.5916810522313849e-06,-2.563212905042273e-06,4.81796587771068e-08,-7.551658442035046e-06,-4.091680918202927e-06,-2.4487703286530735e-06,-4.562240181560942e-06,-1.6504091420195236e-05,-6.5978679110411465e-06,-1.0849691401376599e-05,-6.578530392850903e-06,-7.550890338669503e-06,-9.374836278581012e-06,-1.0197126500418628e-05,-2.1473517681600685e-07,1.2357010584472224e-07
GBR,-4.1912723105811793e-07,-4.135872018786228e-07,-1.5051748192305309e-05,-6.284284342291199e-07,-7.611148035505008e-08,-1.3096626169176088e-07,-2.636239339963518e-07,-4.393125122604176e-06,-9.964347446950756e-06,-3.6822147917388635e-07,-4.580106029602636e-06,-1.2167753681315276e-05,-7.398953129183559e-06,-1.0789116894891793e-05,-8.88782047156242e-06,-4.408476361917879e-06,-6.1262289581970556e-06,2.620443259733243e-06,-2.0069453555070632e-06,-3.4948404798391237e-06,8.560544581557178e-08,-1.3624777630096665e-06,-3.484097059239514e-06,1.1439758629758784e-06,-8.346897061987216e-06,2.17875860392294e-06,-1.6643001209612347e-06,-3.774467522669141e-06,-1.8524878955729503e-06,-1.503174535810519e-06,-9.46520188327402e-06,5.531284036548825e-07,-5.306680287046886e-06,-1.2129779094960135e-05,-1.0722409845540943e-05,-1.6045637233953673e-06,-1.5035976423157778e-05,-2.3345321774382667e-06,-6.5042360467224725e-06,-3.963872800203971e-06,-2.711843624503433e-06,-7.122466971594052e-06,-6.001620678799999e-06,-6.51667255083381e-06,-1.4064227244835402e-05,-9.637610799764529e-06,-7.356269664858229e-06,-1.150834671496566e-05,-4.5058189459160176e-06,-4.531705768451606e-06,-1.7463185783168415e-06,-1.8003024537263727e-06,-4.864606055302622e-07,-2.824508869453576e-06,-2.428397511564613e-06,-5.476146393023121e-06,-9.13618357399278e-06,-7.237084332551208e-06,-8.303690476615223e-06,-2.645648810048756e-06,-7.11066345162773e-07,-1.3771098613930079e-05,-1.220349732913152e-06,-1.7234174649366588e-05,-2.176149348851124e-06,-5.730749420407784e-06,-9.815613274731973e-07,-2.5264077033786646e-06,-3.558859935596083e-06,-2.7351528525262134e-06,-6.520147476126362e-06,-2.893565580285647e-05,-3.30312477374417e-06,-1.1494310151611977e-05,6.335128077935955e-08,-1.8765146331672869e-06,-5.497264987999104e-07,-8.764143225674128e-06,-1.772223483554144e-06,-2.1958917264387896e-06,-2.680230626990947e-07,-1.6911368688932055e-06,-9.843388403293932e-07,-1.5117791832854603e-05,-1.8145274123373784e-06,-2.445621249394737e-06,8.885643104402501e-08,-6.004549579007609e-06,-3.6212006067142483e-06,-1.814632847959199e-06,-4.694309481696939e-06,-1.5116082686985027e-05,-6.0691970616824295e-06,-1.0458807014538826e-05,-7.387946542535437e-06,-7.369867476512264e-06,-8.67597078392558e-06,-9.954287969400362e-06,-1.750533175787806e-07,-2.3777594081164036e-08
IDN,2.0307647967155733e-06,2.1883168563494905e-06,2.8175899232488256e-06,-9.48514807440131e-08,2.4063519859001197e-08,1.913664761689635e-09,-7.596087046958339e-07,2.683459335679921e-06,-1.3489100384553125e-06,-3.357046573376292e-09,-1.1773525426889808e-06,-1.0538926337743565e-06,-3.3521816448780794e-06,2.346962280382964e-06,4.78537109198074e-08,1.2343761468114284e-07,2.857540601041719e-06,3.8427695471796346e-07,4.938280670625656e-07,5.087158102111203e-07,2.0699601709368139e-07,-1.6517414360686238e-06,-3.799617298433985e-07,-4.009146800350816e-06,1.4935056467784694e-06,-1.5206655112215828e-06,-1.258794192328327e-06,6.851584610844657e-07,6.170910889622382e-07,6.763200584978023e-07,-1.0137993604694743e-06,1.2947110113823988e-06,-1.2905758424313232e-06,1.2571161857366467e-06,-1.1837502577586204e-06,-5.925764620463359e-07,-9.185026091717553e-06,7.003663645838674e-07,-4.830255367837069e-07,9.966367720336997e-07,4.091223651793773e-07,1.1495210364465058e-06,5.352817697407798e-07,-7.417402484039988e-07,2.003434774033446e-06,-8.070751035800622e-08,-2.029228089198168e-08,1.398806879066955e-06,1.2247109815436613e-06,5.783188354600489e-07,1.9601277877984816e-06,1.1173614124195847e-07,-2.7493724596016506e-07,2.6477668148794137e-06,-1.8082457334000489e-06,4.2041839274041447e-07,1.6024281939068974e-06,7.108779100228565e-07,2.851838458121138e-07,-1.1108779783877248e-07,-2.5614706869500433e-07,2.8337436409751865e-06,-4.1249583992876047e-07,4.45781376436562e-06,2.6159137071648416e-06,-2.4969806853199228e-06,6.602642109266493e-08,5.355171516629416e-07,4.284822081015348e-07,2.2159785179295393e-07,-3.623057471401465e-06,-1.3598252794640718e-06,-6.657061546531506e-07,1.4621038878097603e-06,-7.318283682206783e-08,-3.589290000491064e-07,-3.98529710990516e-07,5.324632903075394e-07,-8.366261295974773e-07,1.1935386326706807e-06,1.1684866457015359e-07,6.277145899935563e-07,1.8735408874540816e-07,-4.4371758273091934e-06,4.859742360320582e-08,9.296175606700463e-07,6.841051718717078e-07,-9.157582958198621e-08,4.851444940945636e-07,8.546849559622439e-07,4.3737649333155427e-07,2.473948011584622e-06,-1.0416543733828558e-06,9.12025542571489e-07,-7.171641537958812e-07,6.598470331459469e-07,1.67042963749076e-06,3.627874362873067e-09,-1.5180508606832887e-07,-1.0688454541763794e-07
