output,parameter,S1,S1_conf,ST,ST_conf
avg_P,nu,0.00902,0.00801,0.02463,0.01564
avg_P,G,6e-05,0.00103,0.00337,0.00494
avg_P,q,0.0184,0.02077,0.06502,0.04912
avg_P,log10_mu,-0.00014,0.00022,0.0001,9e-05
avg_P,beta_trade_off,0.01246,0.01776,0.03531,0.03376
avg_P,h_mean,0.11305,0.05119,0.42037,0.11533
avg_P,r_mean,0.00942,0.00586,0.01138,0.00366
avg_P,C_diag_mean,0.24504,0.06578,0.57125,0.16651
avg_P,C_offdiag_mean,0.14469,0.07135,0.37391,0.10617
avg_C,nu,0.00078,0.00195,0.00438,0.00302
avg_C,G,0.00023,0.00071,0.00026,0.00017
avg_C,q,-0.00726,0.01268,0.09688,0.04574
avg_C,log10_mu,-3e-05,0.00014,4e-05,5e-05
avg_C,beta_trade_off,0.01419,0.00823,0.06056,0.04
avg_C,h_mean,0.07642,0.07,0.39115,0.14647
avg_C,r_mean,0.00842,0.00587,0.02267,0.0177
avg_C,C_diag_mean,0.10546,0.04759,0.40508,0.23841
avg_C,C_offdiag_mean,0.23755,0.1495,0.72557,0.27199

output,param_i,param_j,S2,S2_conf
avg_P,nu,G,-0.00601,0.01
avg_P,nu,q,-0.00623,0.01027
avg_P,nu,log10_mu,-0.00599,0.01
avg_P,nu,beta_trade_off,-0.00564,0.01036
avg_P,nu,h_mean,-0.00248,0.01858
avg_P,nu,r_mean,-0.00575,0.0101
avg_P,nu,C_diag_mean,-0.00626,0.01037
avg_P,nu,C_offdiag_mean,0.00013,0.01226
avg_P,G,q,0.00043,0.00141
avg_P,G,log10_mu,0.00033,0.00132
avg_P,G,beta_trade_off,0.00037,0.00135
avg_P,G,h_mean,0.0019,0.00272
avg_P,G,r_mean,0.00061,0.00156
avg_P,G,C_diag_mean,-7e-05,0.00147
avg_P,G,C_offdiag_mean,-0.00023,0.00107
avg_P,q,log10_mu,-0.01411,0.02209
avg_P,q,beta_trade_off,-0.01388,0.02203
avg_P,q,h_mean,0.00417,0.03657
avg_P,q,r_mean,-0.0142,0.02211
avg_P,q,C_diag_mean,-0.017,0.02234
avg_P,q,C_offdiag_mean,-0.01689,0.03437
avg_P,log10_mu,beta_trade_off,-0.00029,0.00076
avg_P,log10_mu,h_mean,-0.00063,0.00269
avg_P,log10_mu,r_mean,-0.0004,0.00089
avg_P,log10_mu,C_diag_mean,-0.00022,0.00052
avg_P,log10_mu,C_offdiag_mean,-0.00017,0.0006
avg_P,beta_trade_off,h_mean,0.00097,0.02623
avg_P,beta_trade_off,r_mean,-0.00952,0.01962
avg_P,beta_trade_off,C_diag_mean,-0.00754,0.01938
avg_P,beta_trade_off,C_offdiag_mean,-0.00485,0.02035
avg_P,h_mean,r_mean,0.07521,0.13077
avg_P,h_mean,C_diag_mean,0.34637,0.32786
avg_P,h_mean,C_offdiag_mean,0.1254,0.18562
avg_P,r_mean,C_diag_mean,-0.013,0.01314
avg_P,r_mean,C_offdiag_mean,-0.00412,0.01153
avg_P,C_diag_mean,C_offdiag_mean,0.07503,0.12162
avg_C,nu,G,-0.00029,0.00311
avg_C,nu,q,-0.00021,0.00302
avg_C,nu,log10_mu,-0.00034,0.0031
avg_C,nu,beta_trade_off,-0.00111,0.00343
avg_C,nu,h_mean,0.00061,0.00483
avg_C,nu,r_mean,-2e-05,0.00306
avg_C,nu,C_diag_mean,0.00151,0.00456
avg_C,nu,C_offdiag_mean,-0.00029,0.00298
avg_C,G,q,-0.00015,0.00079
avg_C,G,log10_mu,-0.0001,0.00081
avg_C,G,beta_trade_off,-0.00025,0.00079
avg_C,G,h_mean,0.00098,0.0019
avg_C,G,r_mean,1e-05,0.00089
avg_C,G,C_diag_mean,5e-05,0.00089
avg_C,G,C_offdiag_mean,-0.00023,0.00073
avg_C,q,log10_mu,0.01315,0.01726
avg_C,q,beta_trade_off,0.01354,0.01736
avg_C,q,h_mean,0.00921,0.03343
avg_C,q,r_mean,0.01472,0.01754
avg_C,q,C_diag_mean,0.01566,0.01675
avg_C,q,C_offdiag_mean,0.03125,0.03562
avg_C,log10_mu,beta_trade_off,-5e-05,0.00025
avg_C,log10_mu,h_mean,-0.00018,0.00122
avg_C,log10_mu,r_mean,-0.00013,0.00037
avg_C,log10_mu,C_diag_mean,-2e-05,0.00027
avg_C,log10_mu,C_offdiag_mean,0.0,0.00025
avg_C,beta_trade_off,h_mean,0.0066,0.01876
avg_C,beta_trade_off,r_mean,0.00321,0.01487
avg_C,beta_trade_off,C_diag_mean,0.0182,0.04028
avg_C,beta_trade_off,C_offdiag_mean,-0.00439,0.02382
avg_C,h_mean,r_mean,0.04803,0.12519
avg_C,h_mean,C_diag_mean,0.13375,0.11996
avg_C,h_mean,C_offdiag_mean,0.19299,0.26831
avg_C,r_mean,C_diag_mean,-0.00816,0.00985
avg_C,r_mean,C_offdiag_mean,0.00283,0.01525
avg_C,C_diag_mean,C_offdiag_mean,0.10361,0.10998
